    E, kcal/mol    D, mol/kcal        W1v->W1        W1v->P1        W1v->P4        W1v->P5
            7.7    4.87606e+11    2.33755e+11    1.59326e+13    5.91781e+11    6.67184e+07
            7.8    5.09414e+11    2.34976e+11    1.61234e+13     5.9352e+11    7.16761e+07
            7.9    5.32087e+11    2.36165e+11    1.63117e+13    5.95248e+11    7.67001e+07
              8     5.5566e+11    2.37325e+11    1.64972e+13    5.96961e+11    8.17912e+07
            8.1    5.80162e+11    2.38453e+11    1.66794e+13    5.98662e+11    8.69399e+07
            8.2    6.05624e+11    2.39537e+11    1.68587e+13    6.00351e+11    9.22734e+07
            8.3     6.3208e+11    2.40919e+11    1.70353e+13    6.02028e+11    9.80253e+07
            8.4    6.59567e+11     2.4196e+11     1.7209e+13    6.03692e+11    1.04133e+08
            8.5    6.88117e+11    2.42976e+11    1.73798e+13    6.05345e+11    1.10357e+08
            8.6    7.17768e+11    2.44281e+11    1.75478e+13    6.06985e+11    1.16627e+08
            8.7    7.48556e+11      2.453e+11    1.77132e+13    6.08613e+11    1.22983e+08
            8.8    7.80523e+11    2.46309e+11    1.78762e+13    6.10229e+11    1.29517e+08
            8.9    8.13707e+11    2.47573e+11    1.80365e+13    6.11833e+11    1.36437e+08
              9    8.48147e+11    2.48566e+11    1.81937e+13    6.13426e+11    1.43762e+08
            9.1    8.83889e+11    2.49526e+11    1.83478e+13    6.15008e+11    1.51295e+08
            9.2    9.20973e+11    2.50456e+11    1.84988e+13    6.16578e+11    1.58889e+08
            9.3    9.59446e+11    2.51364e+11    1.86468e+13    6.18136e+11    1.66586e+08
            9.4    9.99351e+11    2.52256e+11    1.87922e+13    6.19685e+11    1.74481e+08
            9.5    1.04074e+12     2.5313e+11    1.89348e+13     6.2122e+11     1.8275e+08
            9.6    1.08366e+12    2.53994e+11    1.90748e+13    6.22746e+11    1.91414e+08
            9.7    1.12816e+12    2.55038e+11    1.92118e+13     6.2426e+11    2.00357e+08
            9.8    1.17429e+12    2.55893e+11    1.93461e+13    6.25765e+11    2.09373e+08
            9.9    1.22211e+12    2.56912e+11    1.94776e+13    6.27258e+11    2.18471e+08
             10    1.27166e+12    2.57915e+11    1.96066e+13     6.2874e+11    2.27754e+08
           10.1    1.32301e+12    2.58735e+11    1.97327e+13    6.30213e+11     2.3741e+08
           10.2    1.37622e+12     2.5953e+11    1.98559e+13    6.31675e+11    2.47442e+08
           10.3    1.43134e+12    2.60297e+11    1.99764e+13    6.33127e+11    2.57801e+08
           10.4    1.48843e+12    2.61036e+11    2.00945e+13    6.34568e+11    2.68292e+08
           10.5    1.54756e+12    2.61895e+11    2.02101e+13       6.36e+11    2.78865e+08
           10.6    1.60879e+12    2.62612e+11    2.03232e+13    6.37422e+11    2.89601e+08
           10.7    1.67219e+12    2.63434e+11    2.04342e+13    6.38834e+11    3.00712e+08
           10.8    1.73782e+12    2.64125e+11    2.05428e+13    6.40236e+11    3.12187e+08
           10.9    1.80576e+12    2.64792e+11    2.06494e+13    6.41629e+11    3.23994e+08
             11    1.87607e+12    2.65551e+11     2.0754e+13    6.43012e+11    3.35996e+08
           11.1    1.94884e+12    2.66187e+11    2.08567e+13    6.44386e+11    3.48092e+08
           11.2    2.02414e+12    2.66797e+11    2.09578e+13    6.45751e+11    3.60322e+08
           11.3    2.10204e+12    2.67385e+11     2.1057e+13    6.47106e+11    3.72918e+08
           11.4    2.18263e+12     2.6795e+11    2.11542e+13    6.48452e+11    3.85887e+08
           11.5    2.26599e+12    2.68488e+11    2.12495e+13    6.49789e+11    3.99183e+08
