========================================
ch2o+oh_W0_Energy_1_0.0.out
0.1 atm
T,P0->P1
680.0,1.89406e-11
690.0,1.91334e-11
700.0,1.93296e-11
800.0,2.1453e-11
900.0,2.38135e-11
1000.0,2.63438e-11
1100.0,2.89898e-11
1200.0,3.1709e-11
1300.0,3.44643e-11
1400.0,3.72263e-11
1500.0,3.99705e-11
1600.0,4.26779e-11
1700.0,4.53329e-11
1800.0,4.79246e-11
1900.0,5.04441e-11
2000.0,5.28854e-11
2100.0,5.52446e-11
2200.0,5.75197e-11
2300.0,5.97096e-11
2400.0,6.18147e-11
2500.0,6.38362e-11
2600.0,6.57756e-11
2700.0,6.76352e-11
2800.0,6.94176e-11
2900.0,7.11256e-11
3000.0,7.27621e-11
========================================
ch2o+oh_W0_Energy_1_0.0.out
2 atm
T,P0->P1
200.0,2.09805e-11
210.0,2.02141e-11
220.0,1.95455e-11
230.0,1.89616e-11
240.0,1.84506e-11
250.0,1.80035e-11
260.0,1.76132e-11
270.0,1.72731e-11
280.0,1.69779e-11
290.0,1.67225e-11
300.0,1.6502e-11
310.0,1.63133e-11
320.0,1.61538e-11
330.0,1.60206e-11
340.0,1.59112e-11
350.0,1.58233e-11
360.0,1.57549e-11
370.0,1.57044e-11
380.0,1.56706e-11
390.0,1.56541e-11
400.0,1.56501e-11
410.0,1.56595e-11
420.0,1.56813e-11
430.0,1.57147e-11
440.0,1.57592e-11
450.0,1.58139e-11
460.0,1.58781e-11
470.0,1.59512e-11
480.0,1.60326e-11
490.0,1.61219e-11
500.0,1.62187e-11
510.0,1.63227e-11
520.0,1.64337e-11
530.0,1.65512e-11
540.0,1.66754e-11
550.0,1.68057e-11
560.0,1.69418e-11
570.0,1.70832e-11
580.0,1.72299e-11
590.0,1.73814e-11
600.0,1.75376e-11
610.0,1.76984e-11
620.0,1.78635e-11
630.0,1.8033e-11
640.0,1.82067e-11
650.0,1.83847e-11
660.0,1.85668e-11
670.0,1.87526e-11
680.0,1.89419e-11
690.0,1.91347e-11
700.0,1.93308e-11
800.0,2.14537e-11
900.0,2.38139e-11
1000.0,2.6344e-11
1100.0,2.899e-11
1200.0,3.17091e-11
1300.0,3.44644e-11
1400.0,3.72263e-11
1500.0,3.99706e-11
1600.0,4.26779e-11
1700.0,4.5333e-11
1800.0,4.79246e-11
1900.0,5.04441e-11
2000.0,5.28854e-11
2100.0,5.52446e-11
2200.0,5.75197e-11
2300.0,5.97096e-11
2400.0,6.18147e-11
2500.0,6.38362e-11
2600.0,6.57756e-11
2700.0,6.76352e-11
2800.0,6.94176e-11
2900.0,7.11256e-11
3000.0,7.27621e-11
========================================
ch2o+oh_W0_Energy_1_0.0.out
3 atm
T,P0->P1
200.0,2.10349e-11
210.0,2.02619e-11
220.0,1.95878e-11
230.0,1.8999e-11
240.0,1.84839e-11
250.0,1.80332e-11
260.0,1.76398e-11
270.0,1.72971e-11
280.0,1.69994e-11
290.0,1.67418e-11
300.0,1.65195e-11
310.0,1.63292e-11
320.0,1.61682e-11
330.0,1.60337e-11
340.0,1.59231e-11
350.0,1.58342e-11
360.0,1.57648e-11
370.0,1.57135e-11
380.0,1.5679e-11
390.0,1.56637e-11
400.0,1.5659e-11
410.0,1.56677e-11
420.0,1.56888e-11
430.0,1.57217e-11
440.0,1.57656e-11
450.0,1.58198e-11
460.0,1.58836e-11
470.0,1.59563e-11
480.0,1.60374e-11
490.0,1.61263e-11
500.0,1.62228e-11
510.0,1.63266e-11
520.0,1.64373e-11
530.0,1.65547e-11
540.0,1.66786e-11
