    E, kcal/mol    D, mol/kcal          W1->R         W1->P1         W1->P2         W1->P3         W1->P4         W1->P5         W1->P6         W1->P7
        1.10075    4.09134e+12    2.40119e+06         816071         110692    1.00603e+06        26125.6              0              0              0
        1.11505    4.09727e+12    2.49779e+06         895741         111957    1.01398e+06        26372.6              0              0              0
        1.12934    4.10321e+12     2.5968e+06         980892         113233    1.02198e+06        26621.4              0              0              0
        1.14364    4.10916e+12    2.69822e+06    1.07142e+06         114521    1.03004e+06        26872.2              0              0              0
        1.15793    4.11511e+12    2.80204e+06    1.16718e+06         115821    1.03814e+06        27124.9              0              0              0
        1.17223    4.12108e+12     2.9083e+06    1.26793e+06         117132    1.04629e+06        27379.5              0              0              0
        1.18652    4.12705e+12    3.01705e+06     1.3734e+06         118456     1.0545e+06        27636.1              0              0              0
        1.20082    4.13302e+12     3.1283e+06     1.4834e+06         119792    1.06275e+06        27894.6              0              0              0
        1.21511    4.13901e+12    3.24211e+06    1.59789e+06         121139    1.07106e+06        28155.1              0              0              0
        1.22941      4.145e+12    3.35852e+06    1.71682e+06         122500    1.07942e+06        28417.6              0              0              0
         1.2437    4.15101e+12    3.47756e+06    1.84015e+06         123872    1.08784e+06        28682.1              0              0              0
          1.258    4.15702e+12    3.59928e+06    1.96784e+06         125257     1.0963e+06        28948.6              0              0              0
         1.2723    4.16303e+12    3.72371e+06    2.09983e+06         126655    1.10482e+06        29217.1              0              0              0
        1.28659    4.16906e+12    3.85092e+06    2.23607e+06         128066     1.1134e+06        29487.7              0              0              0
        1.30089    4.17509e+12    3.98092e+06     2.3765e+06         129489    1.12202e+06        29760.3              0              0              0
        1.31518    4.18114e+12    4.11376e+06    2.52106e+06         130926     1.1307e+06          30035              0              0              0
        1.32948    4.18718e+12    4.24946e+06    2.66969e+06         132375    1.13944e+06        30311.8              0              0              0
        1.34377    4.19324e+12    4.38804e+06    2.82228e+06         133838    1.14823e+06        30590.7              0              0              0
        1.35807    4.19931e+12    4.52951e+06    2.97866e+06         135315    1.15707e+06        30871.6              0              0              0
        1.37236    4.20538e+12    4.67391e+06    3.13862e+06         136805    1.16597e+06        31154.7              0              0              0
        1.38666    4.21146e+12    4.82125e+06    3.30199e+06         138309    1.17493e+06          31440              0              0              0
        1.40095    4.21755e+12    4.97156e+06    3.46854e+06         139827    1.18394e+06        31727.3              0              0              0
        1.41525    4.22365e+12    5.12485e+06    3.63805e+06         141358    1.19301e+06        32016.9              0              0              0
        1.42955    4.22976e+12    5.28115e+06     3.8103e+06         142904    1.20213e+06        32308.6              0              0              0
        1.44384    4.23587e+12    5.44047e+06    3.98505e+06         144464    1.21131e+06        32602.5              0              0              0
        1.45814    4.24199e+12     5.6028e+06    4.16206e+06         146039    1.22055e+06        32898.6              0              0              0
        1.47243    4.24812e+12    5.76814e+06    4.34109e+06         147628    1.22984e+06          33197              0              0              0
        1.48673    4.25426e+12    5.93648e+06    4.52193e+06         149232     1.2392e+06        33497.5              0              0              0
        1.50102    4.26041e+12    6.10779e+06    4.70446e+06         150850    1.24861e+06        33800.3              0              0              0
        1.51532    4.26656e+12    6.28206e+06    4.88854e+06         152484    1.25808e+06        34105.4              0              0              0
        1.52961    4.27273e+12    6.45928e+06    5.07407e+06         154133     1.2676e+06        34412.8              0              0              0
        1.54391     4.2789e+12    6.63942e+06    5.26092e+06         155797    1.27719e+06        34722.4              0              0              0
         1.5582    4.28508e+12    6.82245e+06    5.44898e+06         157477    1.28684e+06        35034.4              0              0              0
         1.5725    4.29126e+12    7.00836e+06    5.63816e+06         159173    1.29654e+06        35348.7              0              0              0
         1.5868    4.29746e+12    7.19713e+06    5.82834e+06         160884    1.30631e+06        35665.3              0              0              0
        1.60109    4.30366e+12    7.38882e+06    6.01943e+06         162611    1.31613e+06        35984.3              0              0              0
        1.61539    4.30987e+12    7.58352e+06    6.21134e+06         164354    1.32602e+06        36305.7              0              0              0
        1.62968    4.31609e+12     7.7813e+06    6.40398e+06         166114    1.33596e+06        36629.4              0              0              0
        1.64398    4.32232e+12    7.98225e+06    6.59727e+06         167890    1.34597e+06        36955.5              0              0              0
        1.65827    4.32856e+12    8.18645e+06    6.79115e+06         169683    1.35604e+06        37284.1              0              0              0
        1.67257     4.3348e+12    8.39402e+06    6.98555e+06         171492    1.36617e+06        37615.1              0              0              0
        1.68686    4.34105e+12    8.60503e+06    7.18041e+06         173318    1.37636e+06        37948.5              0              0              0
        1.70116    4.34732e+12    8.81958e+06    7.37567e+06         175161    1.38662e+06        38284.5              0              0              0
        1.71545    4.35358e+12    9.03779e+06    7.57128e+06         177022    1.39693e+06        38622.8              0              0              0
        1.72975    4.35986e+12    9.25974e+06    7.76718e+06         178900    1.40732e+06        38963.7              0              0              0
        1.74405    4.36615e+12    9.48549e+06    7.96333e+06         180795    1.41776e+06        39307.1              0              0              0
        1.75834    4.37244e+12    9.71505e+06    8.15969e+06         182708    1.42827e+06        39653.1              0              0              0
        1.77264    4.37874e+12    9.94847e+06     8.3562e+06         184639    1.43884e+06        40001.5              0              0              0
        1.78693    4.38506e+12    1.01858e+07    8.55278e+06         186588    1.44948e+06        40352.6              0              0              0
        1.80123    4.39137e+12     1.0427e+07    8.74939e+06         188556    1.46018e+06        40706.2              0              0              0
        1.81552     4.3977e+12    1.06722e+07    8.94595e+06         190541    1.47095e+06        41062.4              0              0              0
        1.82982    4.40404e+12    1.09214e+07    9.14241e+06         192545    1.48178e+06        41421.3              0              0              0
        1.84411    4.41038e+12    1.11745e+07     9.3387e+06         194568    1.49268e+06        41782.7              0              0              0
        1.85841    4.41673e+12    1.14318e+07    9.53477e+06         196609    1.50364e+06        42146.8              0              0              0
         1.8727    4.42309e+12    1.16931e+07    9.73056e+06         198669    1.51467e+06        42513.6              0              0              0
          1.887    4.42946e+12    1.19586e+07    9.92602e+06         200749    1.52577e+06        42883.1              0              0              0
         1.9013    4.43584e+12    1.22282e+07    1.01211e+07         202847    1.53694e+06        43255.3              0              0              0
        1.91559    4.44223e+12    1.25021e+07    1.03158e+07         204965    1.54817e+06        43630.1              0              0              0
        1.92989    4.44862e+12    1.27803e+07      1.051e+07         207103    1.55947e+06        44007.7              0              0              0
        1.94418    4.45502e+12    1.30629e+07    1.07037e+07         209260    1.57084e+06        44388.1              0              0              0
        1.95848    4.46143e+12    1.33499e+07    1.08969e+07         211437    1.58228e+06        44771.2              0              0              0
        1.97277    4.46785e+12    1.36414e+07    1.10896e+07         213634    1.59378e+06        45157.2              0              0              0
        1.98707    4.47428e+12    1.39374e+07    1.12818e+07         215851    1.60536e+06        45545.9              0              0              0
        2.00136    4.48072e+12    1.42381e+07    1.14734e+07         218088      1.617e+06        45937.5              0              0              0
        2.01566    4.48716e+12    1.45434e+07    1.16644e+07         220345    1.62872e+06        46331.9              0              0              0
        2.02995    4.49362e+12    1.48534e+07    1.18548e+07         222623    1.64051e+06        46729.1              0              0              0
        2.04425    4.50008e+12    1.51682e+07    1.20445e+07         224922    1.65236e+06        47129.2              0              0              0
        2.05855    4.50655e+12    1.54879e+07    1.22337e+07         227241    1.66429e+06        47532.3              0              0              0
        2.07284    4.51303e+12    1.58124e+07    1.24221e+07         229582    1.67629e+06        47938.2              0              0              0
        2.08714    4.51952e+12    1.61418e+07    1.26099e+07         231943    1.68836e+06        48347.1              0              0              0
        2.10143    4.52601e+12    1.64762e+07     1.2797e+07         234325    1.70051e+06        48758.9              0              0              0
        2.11573    4.53252e+12    1.68156e+07    1.29834e+07         236729    1.71272e+06        49173.7              0              0              0
        2.13002    4.53903e+12    1.71601e+07    1.31691e+07         239154    1.72501e+06        49591.5              0              0              0
        2.14432    4.54555e+12    1.75097e+07     1.3354e+07         241600    1.73737e+06        50012.3              0              0              0
        2.15861    4.55208e+12    1.78645e+07    1.35381e+07         244068    1.74981e+06        50436.1              0              0              0
        2.17291    4.55862e+12    1.82245e+07    1.37215e+07         246558    1.76232e+06          50863              0              0              0
         2.1872    4.56517e+12    1.85897e+07     1.3904e+07         249069    1.77491e+06        51292.9              0              0              0
         2.2015    4.57172e+12    1.89604e+07    1.40858e+07         251603    1.78757e+06        51725.9              0              0              0
         2.2158    4.57829e+12    1.93364e+07    1.42668e+07         254158     1.8003e+06        52162.1              0              0              0
        2.23009    4.58486e+12    1.97179e+07     1.4447e+07         256736    1.81311e+06        52601.3              0              0              0
        2.24439    4.59144e+12    2.01049e+07    1.46265e+07         259336      1.826e+06        53043.7              0              0              0
        2.25868    4.59803e+12    2.04975e+07    1.48051e+07         261958    1.83896e+06        53489.2              0              0              0
        2.27298    4.60463e+12    2.08958e+07     1.4983e+07         264603      1.852e+06        53937.9              0              0              0
        2.28727    4.61124e+12    2.12997e+07      1.516e+07         267270    1.86512e+06        54389.9              0              0              0
        2.30157    4.61786e+12    2.17094e+07    1.53364e+07         269960    1.87831e+06          54845              0              0              0
        2.31586    4.62448e+12    2.21249e+07    1.55119e+07         272672    1.89158e+06        55303.4              0              0              0
        2.33016    4.63112e+12    2.25463e+07    1.56867e+07         275408    1.90493e+06          55765              0              0              0
        2.34445    4.63776e+12    2.29735e+07    1.58608e+07         278166    1.91836e+06        56229.9              0              0              0
        2.35875    4.64441e+12    2.34067e+07    1.60341e+07         280948    1.93187e+06        56698.1              0              0              0
        2.37305    4.65107e+12    2.38458e+07    1.62066e+07         283752    1.94545e+06        57169.6              0              0              0
        2.38734    4.65774e+12     2.4291e+07    1.63784e+07         286580    1.95912e+06        57644.5              0              0              0
        2.40164    4.66442e+12    2.47422e+07    1.65495e+07         289432    1.97287e+06        58122.7              0              0              0
        2.41593     4.6711e+12    2.51995e+07    1.67197e+07         292306    1.98669e+06        58604.3              0              0              0
        2.43023     4.6778e+12     2.5663e+07    1.68893e+07         295204     2.0006e+06        59089.3              0              0              0
        2.44452     4.6845e+12    2.61326e+07     1.7058e+07         298126    2.01459e+06        59577.7              0              0              0
        2.45882    4.69121e+12    2.66085e+07     1.7226e+07         301072    2.02866e+06        60069.5              0              0              0
        2.47311    4.69793e+12    2.70908e+07    1.73932e+07         304041    2.04281e+06        60564.8              0              0              0
        2.48741    4.70466e+12    2.75794e+07    1.75597e+07         307035    2.05705e+06        61063.6              0              0              0
         2.5017     4.7114e+12    2.80745e+07    1.77254e+07         310052    2.07137e+06        61565.8              0              0              0
          2.516    4.71815e+12    2.85762e+07    1.78904e+07         313093    2.08577e+06        62071.6              0              0              0
         2.5303    4.72491e+12    2.90845e+07    1.80546e+07         316159    2.10025e+06        62580.9              0              0              0
        2.54459    4.73167e+12    2.95995e+07     1.8218e+07         319249    2.11482e+06        63093.8              0              0              0
        2.55889    4.73845e+12    3.01213e+07    1.83807e+07         322363    2.12947e+06        63610.3              0              0              0
        2.57318    4.74523e+12    3.06499e+07    1.85426e+07         325502    2.14421e+06        64130.3              0              0              0
        2.58748    4.75202e+12    3.11855e+07    1.87037e+07         328665    2.15903e+06          64654              0              0              0
        2.60177    4.75882e+12     3.1728e+07    1.88641e+07         331853    2.17394e+06        65181.3              0              0              0
        2.61607    4.76563e+12    3.22772e+07    1.90238e+07         335066    2.18893e+06        65712.3              0              0              0
        2.63036    4.77245e+12    3.28332e+07    1.91827e+07         338303    2.20401e+06        66246.9              0              0              0
        2.64466    4.77928e+12    3.33957e+07    1.93409e+07         341566    2.21918e+06        66785.3              0              0              0
        2.65895    4.78612e+12    3.39647e+07    1.94986e+07         344854    2.23444e+06        67327.4              0              0              0
        2.67325    4.79296e+12    3.45401e+07    1.96556e+07         348167    2.24978e+06        67873.2              0              0              0
        2.68755    4.79982e+12    3.51218e+07    1.98122e+07         351505    2.26521e+06        68422.8              0              0              0
        2.70184    4.80668e+12    3.57096e+07    1.99683e+07         354868    2.28073e+06        68976.2              0              0              0
        2.71614    4.81355e+12    3.63035e+07    2.01241e+07         358257    2.29633e+06        69533.4              0              0              0
        2.73043    4.82044e+12    3.69033e+07    2.02795e+07         361672    2.31203e+06        70094.4              0              0              0
        2.74473    4.82733e+12    3.75091e+07    2.04346e+07         365112    2.32781e+06        70659.3              0              0              0
        2.75902    4.83423e+12    3.81212e+07    2.05895e+07         368578    2.34369e+06          71228              0              0              0
        2.77332    4.84113e+12    3.87396e+07    2.07441e+07         372070    2.35966e+06        71800.7              0              0              0
        2.78761    4.84805e+12    3.93645e+07    2.08982e+07         375588    2.37571e+06        72377.2              0              0              0
        2.80191    4.85498e+12    3.99962e+07    2.10515e+07         379132    2.39186e+06        72957.7              0              0              0
         2.8162    4.86191e+12    4.06347e+07     2.1204e+07         382702     2.4081e+06        73542.1              0              0              0
         2.8305    4.86886e+12    4.12803e+07    2.13553e+07         386298    2.42443e+06        74130.5              0              0              0
         2.8448    4.87581e+12    4.19332e+07    2.15052e+07         389922    2.44085e+06          74723              0              0              0
        2.85909    4.88278e+12    4.25935e+07    2.16536e+07         393571    2.45737e+06        75319.4              0              0              0
        2.87339    4.88975e+12    4.32613e+07    2.18003e+07         397248    2.47398e+06        75919.9              0              0              0
        2.88768    4.89673e+12    4.39367e+07     2.1945e+07         400951    2.49068e+06        76524.4              0              0              0
        2.90198    4.90372e+12    4.46195e+07    2.20875e+07         404681    2.50748e+06          77133              0              0              0
        2.91627    4.91072e+12    4.53097e+07    2.22279e+07         408438    2.52437e+06        77745.8              0              0              0
        2.93057    4.91773e+12    4.60071e+07    2.23664e+07         412222    2.54136e+06        78362.7              0              0              0
        2.94486    4.92474e+12    4.67117e+07    2.25033e+07         416034    2.55844e+06        78983.7              0              0              0
        2.95916    4.93177e+12    4.74233e+07     2.2639e+07         419873    2.57562e+06        79608.9              0              0              0
        2.97345    4.93881e+12    4.81418e+07    2.27737e+07         423739    2.59289e+06        80238.2              0              0              0
        2.98775    4.94585e+12    4.88671e+07    2.29076e+07         427634    2.61026e+06        80871.8              0              0              0
        3.00205    4.95291e+12     4.9599e+07    2.30411e+07         431556    2.62773e+06        81509.7              0              0              0
        3.01634    4.95997e+12    5.03375e+07    2.31745e+07         435506    2.64529e+06        82151.8              0              0              0
        3.03064    4.96704e+12    5.10827e+07    2.33079e+07         439484    2.66296e+06        82798.2              0              0              0
        3.04493    4.97412e+12    5.18346e+07    2.34417e+07         443491    2.68072e+06        83448.8              0              0              0
        3.05923    4.98121e+12    5.25933e+07    2.35761e+07         447525    2.69858e+06        84103.9              0              0              0
        3.07352    4.98832e+12     5.3359e+07     2.3711e+07         451589    2.71653e+06        84763.2              0              0              0
        3.08782    4.99542e+12    5.41317e+07    2.38465e+07         455681    2.73459e+06        85426.9              0              0              0
        3.10211    5.00254e+12    5.49116e+07    2.39825e+07         459802    2.75275e+06        86095.1              0              0              0
        3.11641    5.00967e+12    5.56988e+07    2.41192e+07         463951    2.77101e+06        86767.6              0              0              0
         3.1307    5.01681e+12    5.64933e+07    2.42564e+07         468130    2.78936e+06        87444.6              0              0              0
          3.145    5.02396e+12    5.72954e+07    2.43943e+07         472339    2.80782e+06          88126              0              0              0
         3.1593    5.03111e+12     5.8105e+07    2.45328e+07         476576    2.82638e+06        88811.9              0              0              0
        3.17359    5.03828e+12    5.89223e+07     2.4672e+07         480844    2.84505e+06        89502.4              0              0              0
        3.18789    5.04545e+12    5.97472e+07    2.48118e+07         485141    2.86381e+06        90197.3              0              0              0
        3.20218    5.05264e+12    6.05798e+07    2.49523e+07         489468    2.88268e+06        90896.8              0              0              0
        3.21648    5.05983e+12    6.14199e+07    2.50935e+07         493825    2.90165e+06        91600.9              0              0              0
        3.23077    5.06703e+12    6.22677e+07    2.52353e+07         498212    2.92073e+06        92309.6              0              0              0
