Rate Units: cm^3/sec

 T, K        R->P8        P8->R
  200  5.39586e-18  1.25449e-27
  210  8.60812e-18   5.5622e-27
  220  1.34468e-17  2.20066e-26
  230  2.05764e-17  7.86755e-26
  240    3.086e-17  2.56881e-25
  250  4.53925e-17   7.7305e-25
  260  6.55347e-17  2.16134e-24
  270  9.29452e-17  5.65336e-24
  280   1.2961e-16  1.39194e-23
  290  1.77872e-16  3.24362e-23
  300  2.40451e-16  7.18829e-23
  310  3.20465e-16  1.52151e-22
  320   4.2145e-16  3.08779e-22
  330  5.47364e-16  6.02888e-22
  340  7.02602e-16  1.13601e-21
  350  8.91995e-16  2.07151e-21
  360  1.12081e-15  3.66474e-21
  370  1.39476e-15  6.30418e-21
  380  1.71996e-15  1.05666e-20
  390  2.10297e-15  1.72888e-20
  400  2.55075e-15  2.76602e-20
  410  3.07064e-15  4.33381e-20
  420  3.67037e-15  6.65913e-20
  430  4.35803e-15  1.00474e-19
  440  5.14206e-15  1.49035e-19
  450  6.03122e-15  2.17564e-19
  460  7.03458e-15   3.1288e-19
  470  8.16151e-15  4.43666e-19
  480  9.42164e-15  6.20847e-19
  490  1.08249e-14  8.58023e-19
  500  1.23813e-14  1.17195e-18
  510  1.41013e-14  1.58307e-18
  520  1.59954e-14  2.11611e-18
  530  1.80744e-14  2.80073e-18
  540  2.03491e-14   3.6722e-18
  550  2.28306e-14  4.77221e-18
  560  2.55302e-14  6.14961e-18
  570  2.84591e-14  7.86134e-18
  580  3.16289e-14  9.97329e-18
  590   3.5051e-14  1.25613e-17
  600  3.87372e-14  1.57123e-17
  610  4.26991e-14   1.9525e-17
  620  4.69487e-14  2.41114e-17
  630  5.14978e-14  2.95979e-17
  640  5.63582e-14  3.61262e-17
  650  6.15421e-14  4.38547e-17
  660  6.70615e-14  5.29599e-17
  670  7.29283e-14  6.36374e-17
  680  7.91548e-14  7.61034e-17
  690   8.5753e-14   9.0596e-17
  700  9.27351e-14  1.07377e-16
  800  1.86342e-13   4.7792e-16
  900  3.31649e-13  1.59102e-15
 1000  5.40477e-13  4.30827e-15
 1100  8.24143e-13  1.00136e-14
 1200  1.19333e-12  2.07119e-14
 1300  1.65799e-12  3.90955e-14
 1400  2.22731e-12  6.85788e-14
 1500  2.90975e-12  1.13305e-13
 1600  3.71301e-12   1.7813e-13
 1700  4.64409e-12  2.68587e-13
 1800  5.70937e-12  3.90842e-13
 1900  6.91459e-12  5.51639e-13
 2000    8.265e-12  7.58242e-13
 2100  9.76533e-12  1.01838e-12
 2200  1.14198e-11  1.34017e-12
 2300  1.32325e-11   1.7321e-12
 2400  1.52067e-11  2.20294e-12
 2500  1.73457e-11  2.76171e-12
 2600  1.96525e-11  3.41761e-12
 2700  2.21296e-11  4.18004e-12
 2800  2.47796e-11  5.05851e-12
 2900  2.76046e-11   6.0626e-12
 3000  3.06066e-11  7.20199e-12
 3100  3.37875e-11  8.48637e-12
 3200   3.7149e-11  9.92547e-12
 3300  4.06927e-11   1.1529e-11
 3400  4.44199e-11  1.33067e-11
 3500   4.8332e-11  1.52682e-11
 3600  5.24303e-11  1.74231e-11
 3700  5.67158e-11   1.9781e-11
 3800  6.11896e-11  2.23514e-11
 3900  6.58527e-11  2.51438e-11
