    E, kcal/mol    D, mol/kcal        W1->W2a         W1->P1
           13.8    7.63024e+11    2.01282e+10    1.82134e+11
             14    7.81756e+11    2.04994e+10    1.87925e+11
           14.2    8.00898e+11    2.08746e+10    1.93799e+11
           14.4    8.20456e+11    2.12537e+10    1.99751e+11
           14.6    8.40439e+11    2.16368e+10    2.05807e+11
           14.8    8.60853e+11     2.2024e+10    2.11981e+11
             15    8.81709e+11    2.24151e+10    2.18282e+11
           15.2    9.03014e+11    2.28103e+10    2.24739e+11
           15.4    9.24777e+11    2.32094e+10    2.31346e+11
           15.6    9.47006e+11    2.36125e+10     2.3806e+11
           15.8    9.69711e+11    2.40197e+10    2.44854e+11
             16      9.929e+11    2.44308e+10    2.51732e+11
           16.2    1.01658e+12     2.4846e+10    2.58758e+11
           16.4    1.04076e+12    2.52652e+10    2.65961e+11
           16.6    1.06546e+12    2.56884e+10    2.73282e+11
           16.8    1.09067e+12    2.61156e+10    2.80688e+11
             17    1.11642e+12    2.65468e+10    2.88181e+11
           17.2    1.14271e+12     2.6982e+10    2.95801e+11
           17.4    1.16955e+12    2.74213e+10    3.03556e+11
           17.6    1.19694e+12    2.78645e+10    3.11427e+11
           17.8    1.22491e+12    2.83118e+10    3.19385e+11
             18    1.25346e+12    2.87631e+10    3.27414e+11
           18.2    1.28261e+12    2.92184e+10    3.35536e+11
           18.4    1.31235e+12    2.96777e+10    3.43752e+11
           18.6    1.34271e+12     3.0141e+10    3.52052e+11
           18.8    1.37369e+12    3.06083e+10    3.60432e+11
             19    1.40531e+12    3.10796e+10    3.68902e+11
           19.2    1.43758e+12    3.15549e+10    3.77469e+11
           19.4     1.4705e+12    3.20343e+10    3.86128e+11
           19.6     1.5041e+12    3.25176e+10    3.94891e+11
           19.8    1.53837e+12    3.30049e+10    4.03762e+11
             20    1.57335e+12    3.34963e+10    4.12727e+11
    E, kcal/mol    D, mol/kcal        W2a->W1       W2a->W3a       W2a->W2b
            -10    2.60735e+09    2.72163e+09    1.00476e+06    3.43549e+12
           -9.8     2.6999e+09    2.92624e+09    1.37186e+06    3.46567e+12
           -9.6    2.79567e+09    3.14133e+09    1.86933e+06    3.49542e+12
           -9.4    2.89466e+09    3.36733e+09    2.54137e+06    3.52488e+12
           -9.2    2.99632e+09    3.60538e+09    3.44628e+06    3.55481e+12
             -9    3.10085e+09    3.85579e+09    4.65864e+06    3.58505e+12
           -8.8    3.20875e+09    4.11846e+09    6.27201e+06    3.61509e+12
           -8.6    3.32043e+09    4.39333e+09    8.40147e+06     3.6446e+12
           -8.4    3.43566e+09    4.68118e+09    1.11864e+07    3.67395e+12
           -8.2    3.55409e+09    4.98297e+09    1.47896e+07    3.70362e+12
             -8    3.67583e+09    5.29904e+09    1.93926e+07    3.73356e+12
           -7.8    3.80151e+09    5.62899e+09    2.51884e+07    3.76321e+12
           -7.6    3.93129e+09      5.973e+09    3.23817e+07    3.79255e+12
           -7.4    4.06496e+09     6.3318e+09    4.11886e+07    3.82187e+12
           -7.2    4.20219e+09    6.70642e+09      5.184e+07    3.85158e+12
             -7    4.34337e+09    7.09675e+09     6.4577e+07    3.88139e+12
           -6.8    4.48912e+09    7.50225e+09    7.96564e+07    3.91084e+12
           -6.6    4.63953e+09    7.92325e+09    9.73666e+07    3.93997e+12
           -6.4     4.7943e+09    8.36078e+09     1.1803e+08    3.96914e+12
           -6.2    4.95328e+09    8.81567e+09    1.41993e+08    3.99856e+12
             -6    5.11684e+09     9.2879e+09    1.69602e+08    4.02801e+12
           -5.8    5.28551e+09    9.77707e+09    2.01201e+08    4.05715e+12
           -5.6    5.45932e+09    1.02838e+10    2.37157e+08     4.0861e+12
           -5.4    5.63793e+09    1.08092e+10    2.77859e+08     4.1152e+12
           -5.2    5.82132e+09    1.13541e+10     3.2371e+08    4.14453e+12
             -5    6.01003e+09    1.19181e+10    3.75101e+08     4.1738e+12
           -4.8    6.20459e+09    1.25007e+10     4.3244e+08    4.20273e+12
           -4.6    6.40494e+09    1.31026e+10    4.96198e+08    4.23148e+12
           -4.4     6.6107e+09    1.37253e+10    5.66904e+08    4.26038e+12
           -4.2    6.82209e+09     1.4369e+10    6.45065e+08    4.28939e+12
             -4    7.03959e+09    1.50332e+10    7.31169e+08    4.31828e+12
           -3.8    7.26355e+09    1.57178e+10    8.25711e+08    4.34693e+12
           -3.6    7.49383e+09    1.64238e+10    9.29249e+08    4.37553e+12
           -3.4    7.73022e+09    1.71523e+10    1.04238e+09    4.40428e+12
           -3.2    7.97293e+09    1.79035e+10    1.16566e+09    4.43315e+12
             -3    8.22266e+09    1.86765e+10    1.29962e+09    4.46184e+12
           -2.8    8.47968e+09    1.94714e+10    1.44484e+09    4.49028e+12
           -2.6    8.74389e+09    2.02891e+10    1.60198e+09    4.51864e+12
           -2.4    9.01496e+09    2.11312e+10    1.77179e+09    4.54716e+12
           -2.2    9.29342e+09    2.19971e+10    1.95484e+09    4.57568e+12
             -2    9.57977e+09    2.28865e+10    2.15172e+09    4.60401e+12
           -1.8    9.87421e+09    2.37997e+10    2.36304e+09    4.63217e+12
           -1.6    1.01764e+10    2.47382e+10     2.5896e+09     4.6604e+12
           -1.4    1.04865e+10    2.57026e+10     2.8321e+09    4.68873e+12
           -1.2    1.08048e+10    2.66927e+10    3.09118e+09    4.71706e+12
             -1    1.11321e+10    2.77076e+10    3.36742e+09    4.74516e+12
           -0.8    1.14685e+10    2.87479e+10    3.66157e+09    4.77311e+12
           -0.6    1.18137e+10    2.98149e+10    3.97447e+09    4.80108e+12
           -0.4    1.21677e+10    3.09094e+10    4.30691e+09    4.82914e+12
           -0.2    1.25312e+10    3.20306e+10    4.65949e+09    4.85712e+12
   -6.93946e-15    1.29048e+10    3.31778e+10    5.03278e+09    4.88489e+12
            0.2    1.32884e+10    3.43523e+10    5.42761e+09    4.91258e+12
            0.4    1.36816e+10    3.55556e+10    5.84494e+09    4.94037e+12
            0.6    1.40848e+10    3.67878e+10    6.28551e+09    4.96823e+12
            0.8    1.44987e+10    3.80478e+10    6.74985e+09    4.99597e+12
              1    1.49239e+10    3.93353e+10    7.23864e+09    5.02352e+12
            1.2    1.53602e+10    4.06515e+10    7.75278e+09    5.05099e+12
            1.4    1.58074e+10    4.19978e+10    8.29327e+09    5.07853e+12
            1.6     1.6266e+10     4.3374e+10    8.86076e+09    5.10607e+12
            1.8    1.67368e+10    4.47791e+10    9.45579e+09    5.13346e+12
              2    1.72199e+10    4.62134e+10    1.00791e+10    5.16069e+12
            2.2    1.77153e+10    4.76783e+10    1.07317e+10    5.18792e+12
            2.4    1.82228e+10    4.91751e+10    1.14148e+10    5.21525e+12
