pressure[bar]        = 10
temperature[K]       = 800
energy step[1/cm]    = 56
maximum energy[1/cm] = 24043

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P1->P2
      31.7561   0.00389413
       31.596   0.00414297
      31.4359   0.00440697
      31.2758   0.00468699
      31.1157   0.00498396
      30.9556   0.00529883
      30.7954    0.0056326
      30.6353   0.00598635
      30.4752   0.00636118
      30.3151   0.00675827
       30.155   0.00717884
      29.9949    0.0076242
      29.8348   0.00809569
      29.6747   0.00859473
      29.5146   0.00912282
      29.3545   0.00968151
      29.1943    0.0102725
      29.0342    0.0108973
      28.8741     0.011558
       28.714    0.0122563
      28.5539    0.0129941
      28.3938    0.0137737
      28.2337     0.014597
      28.0736    0.0154663
      27.9135     0.016384
      27.7534    0.0173525
      27.5932    0.0183743
      27.4331    0.0194521
       27.273    0.0205887
      27.1129     0.021787
      26.9528    0.0230498
      26.7927    0.0243804
      26.6326     0.025782
      26.4725    0.0272579
      26.3124    0.0288116
      26.1523    0.0304468
      25.9921    0.0321671
       25.832    0.0339766
      25.6719    0.0358791
      25.5118    0.0378789
      25.3517    0.0399803
      25.1916    0.0421878
      25.0315    0.0445058
      24.8714    0.0469392
      24.7113    0.0494929
      24.5512    0.0521717
       24.391    0.0549811
      24.2309    0.0579261
      24.0708    0.0610124
      23.9107    0.0642454
      23.7506    0.0676309
      23.5905    0.0711747
      23.4304    0.0748829
      23.2703    0.0787615
      23.1102    0.0828168
      22.9501    0.0870551
      22.7899    0.0914828
      22.6298    0.0961064
      22.4697     0.100933
      22.3096     0.105968
      22.1495      0.11122
      21.9894     0.116694
      21.8293     0.122399
      21.6692      0.12834
      21.5091     0.134524
       21.349     0.140959
      21.1888     0.147651
      21.0287     0.154607
      20.8686     0.161834
      20.7085     0.169339
      20.5484     0.177127
      20.3883     0.185206
      20.2282     0.193581
      20.0681     0.202258
       19.908     0.211244
      19.7479     0.220542
      19.5877     0.230159
      19.4276     0.240098
      19.2675     0.250364
      19.1074     0.260961
      18.9473     0.271892
      18.7872     0.283159
      18.6271     0.294765
       18.467     0.306711
      18.3069     0.318997
      18.1468     0.331624
      17.9866     0.344591
      17.8265     0.357896
      17.6664     0.371537
      17.5063     0.385511
      17.3462     0.399812
      17.1861     0.414435
       17.026     0.429374
      16.8659      0.44462
      16.7058     0.460164
      16.5457     0.475994
      16.3855     0.492098
      16.2254     0.508463
      16.0653     0.525071
      15.9052     0.541905
      15.7451     0.558946
       15.585     0.576172
      15.4249      0.59356
      15.2648     0.611083
      15.1047     0.628716
