========================================,
meqz_W1_Energy_1_0.0.out,
0.1 atm,
T,W2->P1
460,2.76714
470,4.88047
480,8.38844
490,14.0899
500,23.1335
510,37.2158
520,58.7011
530,90.8439
540,138.202
550,206.787
560,304.478
570,441.855
580,631.717
590,891.882
600,1243.27
610,1711.98
620,2330.91
630,3138.68
640,4182.76
650,5519.46
660,7209.39
670,9344.39
680,11991.9
690,15271.8
700,19294.5
800,138316
900,594847
1000,1794500
1100,4211650
1200,8285910
1300,14338600
1400,22623700
1500,33214800
1600,46020500
1700,61201200
1800,78526500
1900,97942800
2000,119195000
2100,142421000
2200,167210000
2300,194046000
2400,222106000
2500,251670000
2600,282777000
2700,314774000
2800,348241000
2900,382240000
3000,418090000
========================================,
meqz_W1_Energy_1_0.0.out,
0.1 atm,
T,W2->P2
200,2.36E-13
210,4.34E-12
220,5.35E-11
230,5.28E-10
240,4.27E-09
250,2.94E-08
260,1.69E-07
270,8.23E-07
280,3.63E-06
290,1.43E-05
300,4.84E-05
310,0.000157597
320,0.000449163
330,0.00122867
340,0.00319252
350,0.00756653
360,0.0173969
370,0.0367462
380,0.0742932
390,0.147791
400,0.274509
410,0.495741
420,0.881771
430,1.48618
440,2.48558
450,4.01303
460,6.31379
470,9.72514
480,14.6922
490,21.7797
500,31.7293
510,45.4984
520,64.267
530,89.4896
540,122.988
550,166.918
560,223.965
570,297.078
580,389.313
590,505.821
600,650.934
610,831.297
620,1051.16
630,1320.66
640,1643.32
650,2029.62
660,2486.34
670,3038.09
680,3673.04
690,4416.4
700,5278.09
800,23844.9
900,72544.8
1000,166709
1100,315220
1200,522926
1300,788084
1400,1111830
1500,1487400
1600,1909480
1700,2362800
1800,2839420
1900,3342840
2000,3868490
2100,4427530
2200,4997350
2300,5591750
2400,6162280
2500,6721250
2600,7262660
2700,7881080
2800,8498710
2900,9054800
3000,9602700
========================================,
meqz_W1_Energy_1_0.0.out,
0.5 atm,
T,W2->P2
200,2.50E-13
210,4.61E-12
220,5.67E-11
230,5.63E-10
240,4.58E-09
250,3.16E-08
260,1.83E-07
270,8.98E-07
280,3.98E-06
290,1.58E-05
300,5.39E-05
310,0.000176989
320,0.000509801
330,0.00140778
340,0.00369078
350,0.00884976
360,0.0205593
370,0.0440269
380,0.0903028
390,0.181923
400,0.343413
410,0.63024
420,1.13781
430,1.95244
440,3.31914
450,5.45517
460,8.74171
470,13.7167
480,21.1125
490,31.8876
500,47.3306
510,69.14
520,99.4755
530,141.04
540,197.347
550,272.606
560,372.019
570,501.896
580,669.275
590,883.755
600,1155.41
610,1497.2
620,1921.7
630,2447.24
640,3088.48
650,3867.2
660,4802.98
670,5935.44
680,7268.76
690,8846.56
700,10698.2
800,53203.6
900,173649
1000,420906
1100,827800
1200,1409350
1300,2159540
1400,3076850
1500,4143050
1600,5338010
1700,6609580
1800,7948310
1900,9365070
2000,10844500
2100,12401200
2200,13968800
2300,15569500
2400,17099900
2500,18601200
2600,20305700
2700,21970500
2800,23580400
2900,25015200
3000,26410600
========================================,
meqz_W1_Energy_1_0.0.out,
1 atm,
T,W2->P2
200,2.59E-13
210,4.61E-12
220,5.78E-11
230,5.73E-10
240,4.66E-09
250,3.22E-08
260,1.87E-07
270,9.19E-07
280,4.08E-06
290,1.63E-05
300,5.56E-05
310,0.000182974
320,0.00052905
330,0.00146599
340,0.00385595
350,0.00928566
360,0.0216555
370,0.0466122
380,0.0961236
390,0.194571
400,0.369537
410,0.682321
420,1.23873
430,2.14007
440,3.66033
450,6.05611
460,9.77135
470,15.4382
480,23.9267
490,36.3874
500,54.3817
510,79.9798
520,115.844
530,165.331
540,232.836
550,323.675
560,444.422
570,603.213
580,809.317
590,1074.83
600,1413.12
610,1840.75
620,2375.18
630,3039.53
640,3855.11
650,4850.52
660,6053.34
670,7511.46
680,9240.41
690,11294.5
700,13715.5
800,70603.1
900,236461
1000,584823
1100,1167850
1200,2009670
1300,3103500
1400,4445780
1500,6008880
1600,7759490
1700,9631250
1800,11608500
1900,13699400
2000,15874300
2100,18148100
2200,20433300
2300,22770500
2400,25033000
2500,27280500
2600,29816000
2700,32197200
2800,34509400
2900,36618700
3000,38716700
========================================,
meqz_W1_Energy_1_0.0.out,
2 atm,
T,W2->P2
200,2.66E-13
210,4.74E-12
220,5.80E-11
230,5.78E-10
240,4.72E-09
250,3.27E-08
260,1.89E-07
270,9.34E-07
280,4.16E-06
290,1.66E-05
300,5.69E-05
310,0.000187544
320,0.000543997
330,0.00151183
340,0.00398804
350,0.00963955
360,0.0225567
370,0.0487706
380,0.101054
390,0.205418
400,0.392261
410,0.728217
420,1.32869
430,2.30948
440,3.97171
450,6.61065
460,10.7321
470,17.0616
480,26.6074
490,40.7166
500,61.2297
510,90.6049
520,132.03
530,189.559
540,268.525
550,375.444
560,518.388
570,707.493
