    E, kcal/mol    D, mol/kcal          W1->R         W1->P1         W1->P2         W1->P3         W1->P4         W1->P5         W1->P6         W1->P7
        1.11505    4.64127e+12    1.63589e+06         790754        98834.4         895138        23281.5              0              0              0
        1.12934    4.64793e+12     1.7079e+06         865937        99962.6         902213        23501.5              0              0              0
        1.14364     4.6546e+12    1.78196e+06         945871         101101         909333        23723.2              0              0              0
        1.15793    4.66128e+12    1.85809e+06    1.03042e+06         102250         916498        23946.6              0              0              0
        1.17223    4.66797e+12    1.93629e+06    1.11938e+06         103409         923709        24171.7              0              0              0
        1.18652    4.67467e+12    2.01658e+06    1.21251e+06         104579         930965        24398.6              0              0              0
        1.20082    4.68138e+12    2.09896e+06    1.30965e+06         105760         938267        24627.2              0              0              0
        1.21511    4.68809e+12    2.18343e+06    1.41074e+06         106951         945616        24857.5              0              0              0
        1.22941    4.69482e+12    2.27001e+06    1.51576e+06         108154         953011        25089.6              0              0              0
         1.2437    4.70155e+12    2.35869e+06    1.62467e+06         109367         960452        25323.5              0              0              0
          1.258    4.70829e+12    2.44948e+06    1.73743e+06         110591         967941        25559.1              0              0              0
         1.2723    4.71504e+12     2.5424e+06    1.85399e+06         111827         975476        25796.6              0              0              0
        1.28659     4.7218e+12     2.6375e+06    1.97431e+06         113074         983059        26035.8              0              0              0
        1.30089    4.72857e+12    2.73479e+06    2.09833e+06         114332         990690        26276.9              0              0              0
        1.31518    4.73535e+12    2.83432e+06      2.226e+06         115602         998368        26519.8              0              0              0
        1.32948    4.74214e+12    2.93613e+06    2.35727e+06         116884     1.0061e+06        26764.5              0              0              0
        1.34377    4.74893e+12    3.04023e+06    2.49204e+06         118178    1.01387e+06        27011.1              0              0              0
        1.35807    4.75574e+12    3.14669e+06    2.63015e+06         119483    1.02169e+06        27259.6              0              0              0
        1.37236    4.76255e+12    3.25552e+06    2.77144e+06         120800    1.02957e+06          27510              0              0              0
        1.38666    4.76937e+12    3.36677e+06    2.91573e+06         122130    1.03749e+06        27762.2              0              0              0
        1.40095     4.7762e+12    3.48048e+06    3.06284e+06         123472    1.04546e+06        28016.4              0              0              0
        1.41525    4.78304e+12    3.59667e+06    3.21257e+06         124826    1.05348e+06        28272.4              0              0              0
        1.42955    4.78989e+12    3.71536e+06    3.36472e+06         126193    1.06155e+06        28530.4              0              0              0
        1.44384    4.79675e+12    3.83656e+06    3.51909e+06         127572    1.06968e+06        28790.3              0              0              0
        1.45814    4.80362e+12    3.96031e+06    3.67545e+06         128964    1.07785e+06        29052.2              0              0              0
        1.47243    4.81049e+12    4.08662e+06     3.8336e+06         130369    1.08607e+06        29316.1              0              0              0
