    E, kcal/mol    D, mol/kcal         W1->P0
           23.5    1.38883e+06     1.1498e+13
             24    1.44212e+06    1.19472e+13
           24.5    1.49902e+06    1.23814e+13
             25     1.5552e+06    1.28362e+13
           25.5    1.61382e+06    1.32851e+13
             26    1.67383e+06    1.37363e+13
           26.5     1.7337e+06    1.42022e+13
             27    1.79705e+06    1.46528e+13
           27.5    1.86172e+06    1.51057e+13
             28     1.9278e+06    1.55602e+13
           28.5    1.99524e+06    1.60175e+13
             29     2.0655e+06    1.64662e+13
           29.5    2.13579e+06    1.69287e+13
             30    2.20975e+06    1.73763e+13
           30.5    2.28409e+06    1.78351e+13
             31    2.36037e+06    1.82924e+13
           31.5    2.43872e+06    1.87473e+13
             32    2.51906e+06    1.92002e+13
           32.5    2.60091e+06    1.96547e+13
             33    2.68511e+06    2.01045e+13
           33.5    2.77037e+06    2.05591e+13
             34    2.85812e+06     2.1008e+13
           34.5    2.94881e+06    2.14485e+13
             35    3.04001e+06    2.18987e+13
           35.5    3.13416e+06    2.23413e+13
             36    3.22947e+06    2.27891e+13
           36.5    3.32641e+06    2.32387e+13
             37      3.427e+06     2.3676e+13
           37.5    3.52907e+06    2.41164e+13
             38    3.63176e+06    2.45654e+13
           38.5    3.73897e+06    2.49966e+13
             39    3.84656e+06    2.54379e+13
           39.5    3.95693e+06    2.58733e+13
             40    4.07171e+06    2.62924e+13
           40.5    4.18742e+06    2.67185e+13
             41    4.30432e+06    2.71499e+13
           41.5    4.42528e+06    2.75687e+13
             42    4.54611e+06    2.80013e+13
           42.5    4.66959e+06    2.84303e+13
             43    4.79838e+06    2.88398e+13
           43.5    4.92793e+06    2.92576e+13
             44    5.05987e+06    2.96738e+13
           44.5    5.19337e+06    3.00932e+13
             45    5.33001e+06    3.05066e+13
           45.5    5.47023e+06    3.09117e+13
             46     5.6131e+06    3.13142e+13
           46.5    5.75735e+06    3.17213e+13
             47    5.90518e+06    3.21211e+13
           47.5    6.05486e+06    3.25233e+13
             48    6.20758e+06    3.29217e+13
           48.5    6.36455e+06      3.331e+13
             49    6.52183e+06     3.3709e+13
           49.5    6.68242e+06    3.41031e+13
             50    6.84665e+06    3.44907e+13
           50.5    7.01335e+06     3.4878e+13
             51    7.18359e+06    3.52596e+13
           51.5    7.35689e+06     3.5638e+13
             52    7.53041e+06    3.60271e+13
           52.5    7.70864e+06    3.64054e+13
             53    7.89123e+06    3.67751e+13
           53.5    8.07419e+06     3.7155e+13
             54    8.26284e+06    3.75208e+13
           54.5     8.4533e+06    3.78902e+13
             55    8.64552e+06    3.82634e+13
           55.5    8.84308e+06    3.86248e+13
             56     9.0443e+06     3.8982e+13
           56.5    9.24708e+06    3.93439e+13
             57    9.45483e+06    3.96963e+13
           57.5    9.66365e+06    4.00556e+13
             58    9.87463e+06     4.0417e+13
           58.5    1.00925e+07    4.07615e+13
             59    1.03119e+07    4.11115e+13
           59.5     1.0536e+07    4.14544e+13
             60    1.07619e+07    4.18011e+13
           60.5    1.09907e+07    4.21483e+13
             61    1.12235e+07    4.24913e+13
           61.5    1.14624e+07    4.28223e+13
             62    1.17022e+07    4.31614e+13
           62.5    1.19473e+07    4.34918e+13
             63    1.21949e+07     4.3824e+13
           63.5    1.24448e+07    4.41589e+13
             64    1.27018e+07    4.44797e+13
           64.5      1.296e+07     4.4807e+13
             65    1.32217e+07     4.5133e+13
           65.5    1.34879e+07    4.54545e+13
             66    1.37585e+07    4.57723e+13
           66.5    1.40309e+07    4.60946e+13
             67    1.43118e+07    4.63999e+13
           67.5    1.45911e+07    4.67213e+13
             68    1.48765e+07    4.70334e+13
           68.5    1.51661e+07     4.7343e+13
             69    1.54596e+07    4.76508e+13
           69.5    1.57575e+07    4.79556e+13
             70    1.60597e+07    4.82576e+13
           70.5    1.63649e+07    4.85607e+13
             71    1.66746e+07    4.88612e+13
           71.5    1.69892e+07    4.91575e+13
             72    1.73055e+07    4.94591e+13
           72.5    1.76315e+07    4.97434e+13
             73    1.79557e+07    5.00432e+13
           73.5    1.82872e+07    5.03325e+13
             74    1.86221e+07    5.06226e+13
           74.5    1.89632e+07    5.09061e+13
             75    1.93057e+07    5.11957e+13
           75.5    1.96562e+07    5.14738e+13
             76     2.0008e+07    5.17586e+13
           76.5    2.03642e+07    5.20417e+13
             77    2.07274e+07    5.23169e+13
           77.5    2.10927e+07    5.25965e+13
             78    2.14657e+07    5.28667e+13
           78.5    2.18415e+07    5.31399e+13
             79    2.22231e+07    5.34087e+13
           79.5    2.26071e+07    5.36815e+13
             80    2.29991e+07    5.39447e+13
           80.5    2.33914e+07    5.42169e+13
             81    2.37922e+07    5.44789e+13
           81.5    2.41961e+07     5.4743e+13
             82    2.46054e+07    5.50043e+13
           82.5    2.50201e+07    5.52629e+13
             83    2.54387e+07    5.55224e+13
           83.5    2.58628e+07    5.57791e+13
             84     2.6292e+07     5.6034e+13
           84.5    2.67264e+07    5.62872e+13
             85    2.71653e+07      5.654e+13
           85.5    2.76114e+07    5.67872e+13
             86     2.8059e+07    5.70404e+13
           86.5    2.85158e+07    5.72838e+13
             87     2.8975e+07    5.75315e+13
           87.5    2.94397e+07    5.77771e+13
             88    2.99105e+07    5.80197e+13
           88.5    3.03878e+07    5.82586e+13
             89    3.08675e+07    5.85016e+13
           89.5    3.13566e+07    5.87358e+13
             90    3.18483e+07     5.8974e+13
           90.5    3.23447e+07    5.92123e+13
             91    3.28493e+07    5.94441e+13
           91.5    3.33573e+07    5.96786e+13
             92    3.38717e+07    5.99103e+13
           92.5     3.4392e+07      6.014e+13
             93    3.49174e+07    6.03695e+13
           93.5    3.54477e+07    6.05989e+13
             94     3.5988e+07    6.08197e+13
           94.5    3.65301e+07    6.10459e+13
             95    3.70807e+07    6.12663e+13
           95.5    3.76348e+07    6.14893e+13
             96    3.81941e+07    6.17122e+13
           96.5    3.87607e+07    6.19315e+13
             97    3.93336e+07    6.21492e+13
           97.5    3.99116e+07    6.23669e+13
             98    4.04979e+07      6.258e+13
           98.5    4.10871e+07    6.27967e+13
             99    4.16824e+07    6.30122e+13
           99.5    4.22879e+07    6.32202e+13
            100    4.28958e+07    6.34328e+13
          100.5    4.35112e+07    6.36421e+13
            101    4.41341e+07    6.38486e+13
          101.5    4.47612e+07    6.40569e+13
            102     4.5395e+07    6.42635e+13
